total	propina	sexo	fuma	dia	momento	cantidad	satisfaccion
16.99	1.01	F	No	Do	Noche	2	3
10.34	1.66	M	No	Do	Noche	3	3
21.01	3.5	M	No	Do	Noche	3	3
23.68	3.31	M	No	Do	Noche	2	4
24.59	3.61	F	No	Do	Noche	4	3
25.29	4.71	M	No	Do	Noche	4	4
8.77	2	M	No	Do	Noche	2	2
26.88	3.12	M	No	Do	Noche	4	4
15.04	1.96	M	No	Do	Noche	2	3
14.78	3.23	M	No	Do	Noche	2	3
10.27	1.71	M	No	Do	Noche	2	5
35.26	5	F	No	Do	Noche	4	5
15.42	1.57	M	No	Do	Noche	2	2
18.43	3	M	No	Do	Noche	4	3
14.83	3.02	F	No	Do	Noche	2	4
21.58	3.92	M	No	Do	Noche	2	5
10.33	1.67	F	No	Do	Noche	3	4
16.29	3.71	M	No	Do	Noche	3	1
16.97	3.5	F	No	Do	Noche	3	1
20.65	3.35	M	No	Sa	Noche	3	3
17.92	4.08	M	No	Sa	Noche	2	2
20.29	2.75	F	No	Sa	Noche	2	2
15.77	2.23	F	No	Sa	Noche	2	1
39.42	7.58	M	No	Sa	Noche	4	3
19.82	3.18	M	No	Sa	Noche	2	1
17.81	2.34	M	No	Sa	Noche	4	2
13.37	2	M	No	Sa	Noche	2	2
12.69	2	M	No	Sa	Noche	2	4
21.7	4.3	M	No	Sa	Noche	2	2
19.65	3	F	No	Sa	Noche	2	2
9.55	1.45	M	No	Sa	Noche	2	3
18.35	2.5	M	No	Sa	Noche	4	5
15.06	3	F	No	Sa	Noche	2	3
20.69	2.45	F	No	Sa	Noche	4	5
17.78	3.27	M	No	Sa	Noche	2	5
24.06	3.6	M	No	Sa	Noche	3	5
16.31	2	M	No	Sa	Noche	3	4
16.93	3.07	F	No	Sa	Noche	3	5
18.69	2.31	M	No	Sa	Noche	3	1
31.27	5	M	No	Sa	Noche	3	4
16.04	2.24	M	No	Sa	Noche	3	1
17.46	2.54	M	No	Do	Noche	2	5
13.94	3.06	M	No	Do	Noche	2	3
9.68	1.32	M	No	Do	Noche	2	5
30.4	5.6	M	No	Do	Noche	4	1
18.29	3	M	No	Do	Noche	2	2
22.23	5	M	No	Do	Noche	2	5
32.4	6	M	No	Do	Noche	4	4
